nome,valor,cpf,matricula,inclusao
Vitór Almeida,722.00,873.268.418-53,40209,6/24/2019
Rafael Pereira,843.49,280.872.453-50,10472,6/24/2019
Evelyn Rodrigues,950.71,830.099.774-17,48178,6/19/2019
Ana Castro,902.91,699.931.892-19,24690,6/3/2019
Sofia Almeida,126.17,789.515.683-77,26871,6/28/2019
Beatrice Oliveira,366.60,383.390.179-93,39860,6/14/2019
Gabrielly Pinto,111.07,123.692.321-96,17695,6/19/2019
Lucas Castro,754.27,862.707.964-15,30683,6/16/2019
Kauê Cunha,122.00,975.527.875-38,23713,6/3/2019
Tânia Santos,516.30,270.037.759-13,20152,6/28/2019
Giovanna Costa,645.94,282.152.135-96,21786,6/29/2019
Isabelle Cardoso,856.49,682.798.795-79,10226,6/13/2019
Lara Melo,833.87,781.173.937-27,23067,6/22/2019
Maria Cunha,886.40,577.589.911-30,14685,6/21/2019
Nicolas Santos,735.37,153.505.846-34,36909,6/23/2019
Laura Barros,761.14,464.426.375-30,38338,6/28/2019
Felipe Fernandes,897.01,863.964.492-69,18374,6/3/2019
Alex Fernandes,320.75,683.839.016-74,11374,6/12/2019
Carlos Oliveira,245.11,477.093.343-69,15657,6/27/2019
Julieta Almeida,368.78,344.953.844-65,12270,6/13/2019
Eduarda Carvalho,907.07,568.727.614-90,37527,6/26/2019
Vinicius Sousa,420.33,460.763.812-99,48050,6/7/2019
Carla Almeida,714.92,426.456.359-38,39600,6/26/2019
Giovanna Carvalho,266.04,899.870.386-62,35136,6/15/2019
Kauan Lima,465.32,479.024.027-45,48144,6/7/2019
Rebeca Fernandes,429.44,156.087.290-05,19443,6/24/2019
Isabelle Santos,853.50,704.938.193-47,47729,6/10/2019
Guilherme Araujo,330.26,453.651.906-88,13382,6/1/2019
Manuela Costa,146.11,760.378.473-55,40814,6/26/2019
Caio Silva,894.43,907.196.656-98,39653,6/19/2019
Davi Souza,380.93,363.462.406-09,28523,6/27/2019
Gustavo Dias,485.06,488.962.976-99,37460,6/21/2019
Vitoria Alves,694.58,555.088.406-21,31088,6/13/2019
Sofia Barbosa,426.39,640.670.831-81,11403,6/25/2019
Tiago Ferreira,945.00,970.955.004-79,42939,6/4/2019
Ana Martins,626.95,691.423.597-08,35661,6/13/2019
Clara Dias,734.48,914.206.279-96,37330,6/14/2019
Luan Correia,515.32,300.671.105-09,17012,6/7/2019
Carlos Melo,990.11,678.252.980-71,46020,6/13/2019
Miguel Souza,824.10,155.366.626-78,46561,6/21/2019
Leonor Azevedo,464.78,568.824.552-28,27660,6/7/2019
Rafaela Barros,686.20,586.326.664-36,29392,6/2/2019
Matheus Carvalho,407.29,828.696.208-70,14388,6/18/2019
Aline Martins,581.33,335.742.005-87,21012,6/15/2019
Marina Ferreira,499.92,225.304.353-24,18500,6/27/2019
Douglas Barbosa,793.02,404.324.995-04,26267,6/17/2019
Davi Sousa,942.70,913.289.360-40,17303,6/20/2019
Sophia Ribeiro,481.61,317.435.759-47,22926,6/24/2019
Brenda Pereira,487.52,917.423.604-08,14788,6/21/2019
Isabela Gomes,445.68,497.280.497-14,47234,6/8/2019
Gabriel Sousa,656.40,763.684.173-82,11112,6/24/2019
Manuela Gomes,266.29,163.437.527-06,38056,6/3/2019
Ryan Cunha,890.53,825.345.800-27,49539,6/23/2019
Isabelle Lima,242.16,638.533.637-92,25531,6/10/2019
Diego Silva,216.51,204.222.005-14,13235,6/12/2019
Vinicius Pereira,649.70,798.740.038-63,12502,6/16/2019
Kauã Rocha,968.84,778.540.083-02,42299,6/7/2019
Diogo Dias,201.36,981.302.971-40,25406,6/20/2019
Davi Dias,106.19,710.358.483-41,49592,6/6/2019
Rafaela Santos,381.80,987.825.512-35,32687,6/20/2019
Estevan Martins,930.33,636.758.451-09,15888,6/16/2019
Letícia Goncalves,679.31,864.292.211-72,47889,6/16/2019
Kai Dias,597.76,828.256.025-15,18847,6/24/2019
Danilo Barbosa,296.36,179.359.097-41,36599,6/17/2019
Davi Melo,366.94,381.857.856-78,33081,6/7/2019
Samuel Santos,907.57,606.587.724-73,41004,6/20/2019
Matheus Ferreira,509.62,330.115.846-30,40627,6/24/2019
Rafaela Ribeiro,963.19,581.261.133-59,42857,6/19/2019
Daniel Martins,237.18,697.102.068-50,45093,6/27/2019
Beatriz Ferreira,132.20,195.546.646-72,11810,6/1/2019
Matilde Correia,382.05,337.075.854-76,22646,6/26/2019
Kauan Azevedo,351.03,400.035.597-00,36503,6/16/2019
Martim Barbosa,751.35,399.268.773-20,40256,6/9/2019
Miguel Gomes,392.06,175.588.508-35,28069,6/13/2019
Matilde Rodrigues,667.26,846.126.760-50,39699,6/23/2019
Isabela Santos,311.02,516.298.016-15,41177,6/10/2019
Giovana Araujo,159.45,230.937.362-18,39869,6/7/2019
Luan Ribeiro,973.50,297.162.821-33,14664,6/11/2019
Miguel Correia,591.19,667.360.702-52,14828,6/30/2019
Leonor Cavalcanti,464.85,369.178.292-26,34573,6/1/2019
Beatrice Souza,313.67,493.756.274-62,31096,6/26/2019
Tomás Sousa,973.03,641.894.702-95,47134,6/12/2019
Raissa Goncalves,424.07,963.539.548-59,24398,6/30/2019
Fábio Melo,779.12,734.722.327-06,26011,6/5/2019
Carolina Costa,800.72,922.944.292-57,19950,6/11/2019
Eduardo Gomes,541.28,469.816.776-01,12619,6/27/2019
Clara Carvalho,408.77,458.003.434-11,18984,6/19/2019
Marina Almeida,588.77,113.517.647-72,12862,6/13/2019
Isabelle Fernandes,250.44,531.828.023-48,28310,6/9/2019
Isabelle Sousa,820.29,285.198.684-87,30497,6/21/2019
Vitoria Souza,303.69,934.208.659-45,12673,6/30/2019
Gabriel Lima,387.28,552.124.349-63,39696,6/11/2019
Livia Azevedo,596.76,558.462.803-40,18385,6/30/2019
Matilde Silva,416.47,747.452.862-28,49372,6/15/2019
Thiago Costa,580.45,851.378.052-97,30787,6/15/2019
Luís Souza,332.11,270.250.463-96,41898,6/6/2019
Clara Alves,735.76,825.584.497-02,12316,6/4/2019
Lavinia Almeida,225.53,880.140.133-79,44411,6/2/2019
Yasmin Dias,122.71,342.340.376-48,46250,6/6/2019
Clara Dias,940.17,601.516.795-50,27929,6/23/2019
Sophia Cardoso,560.45,402.521.863-11,10396,6/2/2019
Melissa Rocha,279.78,413.375.016-03,26863,6/20/2019
Davi Cunha,793.91,533.663.369-00,27934,6/18/2019
Ana Castro,645.88,284.809.576-89,14483,6/7/2019
Diego Oliveira,104.43,699.663.544-68,44189,6/9/2019
Nicolash Pereira,268.28,914.234.649-58,45030,6/22/2019
Nicole Pinto,112.42,972.618.171-20,17504,6/25/2019
Julian Costa,774.13,406.986.491-17,24289,6/12/2019
Mariana Goncalves,432.12,274.297.066-57,32888,6/15/2019
Enzo Cunha,637.71,838.325.571-30,33712,6/20/2019
Leonardo Melo,935.42,554.018.647-87,31127,6/29/2019
Breno Fernandes,499.88,310.583.600-43,35553,6/14/2019
Ágatha Rodrigues,143.41,220.966.699-60,47051,6/8/2019
Gabriela Souza,842.36,722.490.580-16,38654,6/11/2019
Rafael Rodrigues,454.00,991.930.966-40,42616,6/28/2019
Davi Carvalho,234.37,152.259.948-73,29516,6/16/2019
Rafaela Fernandes,787.47,408.808.038-60,14703,6/7/2019
Eduardo Ferreira,793.92,980.148.618-09,38301,6/17/2019
Kaua Correia,759.01,684.930.744-46,21091,6/13/2019
Kauan Sousa,214.52,646.990.310-05,24082,6/17/2019
Giovana Almeida,752.16,324.285.359-86,12133,6/24/2019
Ágatha Santos,252.51,945.334.367-65,38295,6/2/2019
Renan Almeida,313.92,584.127.257-86,26820,6/9/2019
Sophia Cardoso,919.25,998.697.982-09,10147,6/20/2019
Samuel Cavalcanti,334.33,916.089.108-49,10829,6/3/2019
Gustavo Silva,435.07,105.326.272-88,11835,6/20/2019
Gabriela Araujo,541.89,616.479.848-58,17932,6/15/2019
Sofia Pereira,187.36,758.483.018-83,26739,6/22/2019
Carla Sousa,941.73,462.809.870-00,42236,6/20/2019
José Araujo,295.74,836.730.654-67,11496,6/14/2019
Isabella Santos,998.00,247.314.149-54,11039,6/19/2019
Antônio Rocha,225.26,823.238.269-48,35562,6/9/2019
Amanda Ribeiro,229.98,703.302.398-72,22263,6/22/2019
Vitor Silva,448.67,638.517.707-65,29820,6/12/2019
Larissa Dias,914.05,771.809.941-54,16272,6/27/2019
Leonor Carvalho,130.95,979.653.868-79,31605,6/11/2019
Bruna Araujo,646.12,434.830.784-95,13943,6/8/2019
Lavinia Cunha,510.86,551.144.778-11,30907,6/9/2019
Tiago Melo,899.73,842.506.518-60,47557,6/14/2019
Julieta Rodrigues,136.44,794.354.418-82,30389,6/6/2019
Fábio Araujo,525.57,987.067.948-07,32070,6/6/2019
Anna Pereira,559.54,497.625.219-19,16252,6/27/2019
Julieta Alves,514.83,654.083.993-62,44883,6/26/2019
Erick Carvalho,619.60,899.205.091-75,32956,6/13/2019
Fernanda Azevedo,431.70,628.814.493-28,34692,6/10/2019
Anna Martins,246.90,133.417.024-07,35156,6/19/2019
Amanda Rocha,349.51,279.434.939-23,27071,6/7/2019
Vitór Sousa,144.64,638.141.193-71,42493,6/6/2019
Amanda Ribeiro,416.85,396.915.097-33,44739,6/13/2019
Vitoria Azevedo,347.22,729.506.133-90,19067,6/9/2019
Nicolash Barros,102.89,416.890.448-29,20987,6/2/2019
Nicole Oliveira,620.20,993.934.858-44,33860,6/11/2019
Caio Ferreira,403.19,947.119.238-29,12792,6/28/2019
Vitór Cunha,211.28,610.430.584-94,34623,6/9/2019
Gabrielle Souza,830.38,214.302.703-65,41262,6/20/2019
Manuela Araujo,567.96,247.694.193-09,30452,6/21/2019
Eduardo Cardoso,693.08,482.319.324-53,20947,6/24/2019
Rafaela Melo,278.88,576.165.653-10,36751,6/10/2019
Ana Correia,261.88,648.013.147-91,34641,6/15/2019
Luís Carvalho,155.05,562.482.247-22,38756,6/13/2019
Cauã Rodrigues,657.63,438.147.181-43,11555,6/15/2019
Sofia Melo,961.47,423.297.244-70,36438,6/19/2019
Luis Ferreira,379.25,623.657.757-99,28151,6/25/2019
Gabriela Silva,758.74,514.906.342-82,15505,6/7/2019
Amanda Lima,419.65,705.490.429-03,47557,6/6/2019
Júlia Correia,129.52,162.747.263-06,24213,6/26/2019
Matilde Dias,668.40,318.900.313-05,30963,6/28/2019
Kauan Cunha,145.82,915.915.678-31,33841,6/7/2019
Raissa Castro,773.73,285.680.655-46,42213,6/30/2019
Sofia Ribeiro,345.27,265.898.735-85,46333,6/19/2019
Julia Azevedo,509.44,270.749.589-13,34634,6/30/2019
Ágatha Carvalho,164.15,562.968.805-70,24141,6/26/2019
Sofia Correia,312.75,917.475.138-73,39562,6/8/2019
Paulo Fernandes,988.26,688.702.933-27,37581,6/7/2019
